iagems,name,cn,country,75%,25%,effect,lower,upper,pool_effect,pool_lower,pool_upper,ALL
12 Months,"WAMI index
(25th vs. 75th %ile)",BRF,BR,0.8984375,0.796875,1.131488881,0.508399645,2.518229703,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",TZH,TZ,0.2890625,0.140625,0.867909592,0.538166042,1.399692661,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",PEL,PE,0.609375,0.46875,0.873507727,0.540683203,1.411206684,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"WAMI index
(25th vs. 75th %ile)",SAV,SA,0.84375,0.708333333,1.262205911,0.646638813,2.463761425,1.432940268,1.002590007,2.048013442,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",INV,IN,0.666666667,1.186363636,1.248509545,0.826232582,1.886606892,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",BRF,BR,0.857142857,1.272727273,0.541045509,0.206005451,1.420982993,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",TZH,TZ,1,1.583333333,1.567917894,0.935794647,2.627036317,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",NEB,NP,0.545454546,0.909090909,1.164915261,0.965330689,1.40576445,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",BGD,BG,0.75,1.181818182,1.192985766,0.813421239,1.749665449,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",SAV,SA,0.416666667,0.8,2.017798847,1.037924837,3.922742803,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"Enteropathogen detection
(75th vs. 25th %ile)",PEL,PE,0.444444444,1,0.96754693,0.591586919,1.582433674,1.214914964,0.992042037,1.487858695,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",BRF,BR,19.1606575,15.62133,1.482407205,0.853926509,2.573442911,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",INV,IN,12.19791856,9.785934125,1.434799345,1.053252979,1.954562865,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",BGD,BG,12.71986331,9.756868563,1.600183985,1.213481957,2.110116901,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",SAV,SA,12.005277,9.336474,0.91019204,0.660440251,1.254389854,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",TZH,TZ,14.402955,11.64800533,1.558861597,1.065264576,2.281169894,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",NEB,NP,13.13392025,9.4419972,1.003371358,0.883037322,1.140103658,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"% Energy from protein
(25th vs. 75th %ile)",PEL,PE,11.70662075,8.620437125,1.00665931,0.779816814,1.29948848,1.224252108,1.062501431,1.410627017,ALL Sites
12 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",INV,IN,-0.5675,-1.9875,2.800088012,1.880319347,4.169766635,2.660294598,2.194888816,3.224385352,ALL Sites
12 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",NEB,NP,-0.27,-1.32,2.194864539,1.794576366,2.684438755,2.660294598,2.194888816,3.224385352,ALL Sites
12 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",BGD,BG,-0.42,-1.89,4.300504654,2.519744808,7.339767193,2.660294598,2.194888816,3.224385352,ALL Sites
12 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",BRF,BR,0.4525,-0.905,1.724876556,0.721432823,4.124014099,2.660294598,2.194888816,3.224385352,ALL Sites
12 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",TZH,TZ,0.5,-0.67,3.25367277,1.910501073,5.541157052,2.660294598,2.194888816,3.224385352,ALL Sites
12 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",PEL,PE,-0.0425,-1.15,3.043862744,1.9694083,4.704509676,2.660294598,2.194888816,3.224385352,ALL Sites
12 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",SAV,SA,0.29,-0.92,2.277719111,1.281906576,4.047100192,2.660294598,2.194888816,3.224385352,ALL Sites
24 Months,"Maternal height
(25th vs. 75th %ile)",INV,IN,154,148.1,2.034078024,1.326826585,3.11832266,2.383074646,1.886872427,3.009766154,ALL Sites
24 Months,"Maternal height
(25th vs. 75th %ile)",NEB,NP,152.6,146.8,2.295750992,1.772230395,2.973920679,2.383074646,1.886872427,3.009766154,ALL Sites
24 Months,"Maternal height
(25th vs. 75th %ile)",BGD,BG,152.9,146.1,1.616094763,1.01777507,2.56614881,2.383074646,1.886872427,3.009766154,ALL Sites
24 Months,"Maternal height
(25th vs. 75th %ile)",BRF,BR,160,150.2,0.3749997,0.061754718,2.277150303,2.383074646,1.886872427,3.009766154,ALL Sites
24 Months,"Maternal height
(25th vs. 75th %ile)",TZH,TZ,159.975,152.025,1.972761017,0.755278877,5.152780179,2.383074646,1.886872427,3.009766154,ALL Sites
24 Months,"Maternal height
(25th vs. 75th %ile)",PEL,PE,153.95,146.7,2.259498977,1.454200877,3.510749931,2.383074646,1.886872427,3.009766154,ALL Sites
24 Months,"Maternal height
(25th vs. 75th %ile)",SAV,SA,163.1,155.2,2.29335214,1.31727533,3.992683927,2.383074646,1.886872427,3.009766154,ALL Sites
24 Months,"WAMI index
(25th vs. 75th %ile)",INV,IN,0.58203125,0.40625,1.155104967,0.754298084,1.768886216,1.752137514,1.20538048,2.546901927,ALL Sites
24 Months,"WAMI index
(25th vs. 75th %ile)",BRF,BR,0.890625,0.7890625,1.865499778,0.743661164,4.679670788,1.752137514,1.20538048,2.546901927,ALL Sites
24 Months,"WAMI index
(25th vs. 75th %ile)",TZH,TZ,0.271484375,0.140625,1.641053487,0.822701276,3.273431834,1.752137514,1.20538048,2.546901927,ALL Sites
24 Months,"WAMI index
(25th vs. 75th %ile)",NEB,NP,0.78125,0.6171875,1.802676088,1.279834631,2.53911013,1.752137514,1.20538048,2.546901927,ALL Sites
24 Months,"WAMI index
(25th vs. 75th %ile)",BGD,BG,0.6328125,0.453125,1.581514106,0.907888479,2.754949451,1.752137514,1.20538048,2.546901927,ALL Sites
24 Months,"WAMI index
(25th vs. 75th %ile)",SAV,SA,0.8515625,0.71875,1.585667579,0.753381353,3.337408951,1.752137514,1.20538048,2.546901927,ALL Sites
24 Months,"WAMI index
(25th vs. 75th %ile)",PEL,PE,0.6171875,0.453125,0.876984481,0.5441559,1.41338499,1.752137514,1.20538048,2.546901927,ALL Sites
24 Months,"Enteropathogen detection
(75th vs. 25th %ile)",BRF,BR,0.933333333,1.363636364,0.779204696,0.284990165,2.130459338,1.356789627,1.066197143,1.726583216,ALL Sites
24 Months,"Enteropathogen detection
(75th vs. 25th %ile)",INV,IN,0.759615385,1.3125,1.454692076,0.896569748,2.360250324,1.356789627,1.066197143,1.726583216,ALL Sites
24 Months,"Enteropathogen detection
(75th vs. 25th %ile)",BGD,BG,0.875,1.3125,1.31522846,0.808003162,2.140865264,1.356789627,1.066197143,1.726583216,ALL Sites
24 Months,"Enteropathogen detection
(75th vs. 25th %ile)",SAV,SA,0.4375,0.733333333,2.230515851,1.203901204,4.132565815,1.356789627,1.066197143,1.726583216,ALL Sites
24 Months,"Enteropathogen detection
(75th vs. 25th %ile)",TZH,TZ,1.067857143,1.537179487,0.864656632,0.366149251,2.041875241,1.356789627,1.066197143,1.726583216,ALL Sites
24 Months,"Enteropathogen detection
(75th vs. 25th %ile)",NEB,NP,0.625,1,1.149866751,0.874199551,1.512461936,1.356789627,1.066197143,1.726583216,ALL Sites
24 Months,"Enteropathogen detection
(75th vs. 25th %ile)",PEL,PE,0.69375,1.214285714,1.697418226,1.040758797,2.768392296,1.356789627,1.066197143,1.726583216,ALL Sites
24 Months,"% Energy from protein
(25th vs. 75th %ile)",BGD,BG,12.21542975,10.4249468,1.853999903,1.214487945,2.830259167,1.394112891,1.130451385,1.719269645,ALL Sites
24 Months,"% Energy from protein
(25th vs. 75th %ile)",BRF,BR,17.80107938,15.85210438,1.801495091,0.748247275,4.33731558,1.394112891,1.130451385,1.719269645,ALL Sites
24 Months,"% Energy from protein
(25th vs. 75th %ile)",INV,IN,12.22924228,10.15827932,2.42127114,1.326622471,4.419157719,1.394112891,1.130451385,1.719269645,ALL Sites
24 Months,"% Energy from protein
(25th vs. 75th %ile)",NEB,NP,12.58848813,9.779044344,0.89913605,0.73403608,1.101370435,1.394112891,1.130451385,1.719269645,ALL Sites
24 Months,"% Energy from protein
(25th vs. 75th %ile)",PEL,PE,11.68983581,9.690073272,0.845892118,0.594675142,1.203234211,1.394112891,1.130451385,1.719269645,ALL Sites
24 Months,"% Energy from protein
(25th vs. 75th %ile)",SAV,SA,13.09812053,11.14053793,0.948947749,0.561501689,1.603738417,1.394112891,1.130451385,1.719269645,ALL Sites
24 Months,"% Energy from protein
(25th vs. 75th %ile)",TZH,TZ,12.46921467,10.79730151,2.25906113,1.354482235,3.767754983,1.394112891,1.130451385,1.719269645,ALL Sites
24 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",INV,IN,-0.525,-1.96,2.190054559,1.382810123,3.46854488,1.823585457,1.489632212,2.232406019,ALL Sites
24 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",BRF,BR,0.445,-0.9,2.522290264,1.06453007,5.976297292,1.823585457,1.489632212,2.232406019,ALL Sites
24 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",TZH,TZ,0.58,-0.605,2.337650828,1.066373571,5.124481271,1.823585457,1.489632212,2.232406019,ALL Sites
24 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",NEB,NP,-0.295,-1.41,1.528165042,1.174967876,1.987533823,1.823585457,1.489632212,2.232406019,ALL Sites
24 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",BGD,BG,-0.59,-1.9,2.26296746,1.433336956,3.572796827,1.823585457,1.489632212,2.232406019,ALL Sites
24 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",SAV,SA,0.27,-0.93,1.771755617,0.929103662,3.378652024,1.823585457,1.489632212,2.232406019,ALL Sites
24 Months,"Enrollment weight-for-age
(25th vs. 75th %ile)",PEL,PE,-0.045,-1.135,1.630963907,1.118383169,2.378472189,1.823585457,1.489632212,2.232406019,ALL Sites
