"ReturnCode","LL","tvE0","tvAlpha","tvBeta","tvGam","dE0dTRT1","dE0dTRT2","dE0dTRT5","dE0dTRT6","dE0dTRT7","dE0dTRT17","dAlphadTRT1","dAlphadTRT2","dAlphadTRT5","dAlphadTRT6","dAlphadTRT7","dAlphadTRT17","dBetadTRT1","dBetadTRT2","dBetadTRT5","dBetadTRT6","dBetadTRT7","dBetadTRT17","dGamdTRT1","dGamdTRT2","dGamdTRT5","dGamdTRT6","dGamdTRT7","dGamdTRT17","dE0dBLMEANTTP","dAlphadBLMEANTTP","dGamdBLMEANTTP","dBetadBLMEANTTP","EEps","omega(nE0,nE0)","omega(nAlpha,nE0)","omega(nAlpha,nAlpha)","omega(nBeta,nE0)","omega(nBeta,nAlpha)","omega(nBeta,nBeta)","omega(nGam,nE0)","omega(nGam,nAlpha)","omega(nGam,nBeta)","omega(nGam,nGam)"
3,-16793.5,2.21793,22.2682,1.58386,0.0490883,-0.121035,-0.0943674,-0.179819,-0.242185,-0.0324703,0.409998,-0.0122895,-0.286876,-0.120626,0.152042,0.0117019,0.0529412,-0.0116292,-0.10342,-0.0313966,0.0250557,0.0163335,0.19064,-0.0680221,0.0247097,0.494479,0.0358588,0.034381,0.0531226,0.891557,0.128918,-0.633695,-0.44044,0.268186,0.52238,-0.117905,0.0991454,0.126914,0.0171846,0.0599932,0.21863,-0.0708687,0.0419486,0.320468
3,-17405.3,2.87251,22.3573,1.72571,0.0479668,-0.15586,-0.142902,-0.218629,-0.313716,-0.0392569,0.453007,-0.0131984,-0.254002,-0.161801,0.218486,0.00996632,0.0446384,-0.0125276,-0.0993481,-0.0402176,0.0230451,0.0172928,0.195054,-0.101253,0.0245611,0.485006,0.0344735,0.0285254,0.0537303,0.790322,0.155735,-0.704849,-0.404077,0.274328,0.235039,-0.0403508,0.103728,0.10008,0.023141,0.0594101,0.126691,-0.114399,0.0153505,0.468291
3,-16925.5,3.4825,22.2178,1.81124,0.0473072,-0.162799,-0.148552,-0.221555,-0.316325,-0.0392871,0.408275,-0.0133642,-0.290603,-0.14953,0.184156,0.0100938,0.0436086,-0.0123861,-0.097941,-0.0394851,0.0232791,0.017706,0.211118,-0.105665,0.0247049,0.619633,0.0340893,0.029525,0.0533878,0.70081,0.148919,-0.631959,-0.404542,0.269547,0.300581,-0.0937702,0.148385,0.132906,0.0106063,0.0815233,0.17664,-0.144738,0.0388547,0.413627
3,-17295.9,1.36778,25.0986,1.57122,0.0441018,-0.0751094,-0.0589118,-0.170764,-0.382833,-0.0564892,0.0775326,-0.0136974,-0.356913,-0.226274,0.13909,0.00956724,0.0855752,-0.015383,-0.188527,-0.0547216,0.0168605,0.0208318,0.113508,-0.000119141,0.0156282,0.760237,0.0346082,0.0411862,0.0623586,0.96511,0.301301,-0.79655,-0.355311,0.258923,0.784844,-0.179827,0.0919092,0.0335934,0.0278994,0.0264351,0.292899,-0.0788161,0.00524433,0.39796
3,-16718.3,3.04655,20.9493,1.75805,0.0530966,-0.151392,-0.12281,-0.219673,-0.33544,-0.0405513,0.405635,-0.0131762,-0.290055,-0.150603,0.216903,0.010049,0.0445188,-0.0124747,-0.119178,-0.0389584,0.0228423,0.0183244,0.210783,-0.0941506,0.024622,0.536454,0.0349717,0.0295415,0.053214,0.945915,0.150078,-0.71062,-0.358567,0.271324,0.258131,-0.0588195,0.127568,0.113193,0.0284569,0.0754153,0.153241,-0.155206,0.0100981,0.491152
3,-16651.2,2.17729,23.1532,1.64495,0.0492927,-0.158015,-0.130563,-0.217951,-0.286306,-0.0395272,0.372016,-0.0130686,-0.260576,-0.138987,0.197761,0.0100429,0.0444785,-0.0121246,-0.0999974,-0.0378557,0.0227785,0.0185699,0.220711,-0.103769,0.0249774,0.564642,0.0348467,0.0286514,0.0540463,1.05301,0.168105,-0.647628,-0.361205,0.260069,0.2696,-0.0383876,0.0867813,0.0738751,0.0355145,0.046303,0.0848729,-0.0760576,-0.0129673,0.365008
3,-16736,2.99507,22.0418,1.75456,0.0509241,-0.163828,-0.13903,-0.215981,-0.324392,-0.0395341,0.389799,-0.0132008,-0.276063,-0.152405,0.206473,0.0100296,0.0437686,-0.0121933,-0.0950662,-0.0394528,0.0233175,0.0181305,0.218876,-0.105036,0.0248227,0.588329,0.0358096,0.0292241,0.0538173,0.930528,0.145806,-0.600248,-0.359043,0.264533,0.216542,-0.0457706,0.133659,0.0987746,0.0301066,0.0660216,0.130143,-0.167071,0.00202049,0.540489
3,-17300.9,2.72929,21.0404,1.65522,0.0554481,-0.165117,-0.142389,-0.217458,-0.278288,-0.0404428,0.311046,-0.013454,-0.208082,-0.142352,0.184001,0.0098331,0.0418069,-0.0125267,-0.111325,-0.0401103,0.0222621,0.0179274,0.240044,-0.106097,0.0245744,0.623883,0.0338729,0.0289729,0.0508888,0.72465,0.164834,-0.591251,-0.458318,0.270496,0.40659,-0.10392,0.135914,0.109996,0.02622,0.0567567,0.16035,-0.132956,-0.00256174,0.399748
3,-16974.9,2.97825,21.9747,1.71572,0.0493272,-0.162907,-0.129539,-0.227451,-0.296054,-0.0401082,0.472122,-0.0131614,-0.312584,-0.152362,0.226967,0.00998763,0.0458457,-0.0121919,-0.110275,-0.0388314,0.0226652,0.0185623,0.198088,-0.102565,0.0247557,0.591997,0.0352944,0.0292092,0.0542512,0.756089,0.13197,-0.537827,-0.411418,0.261487,0.258078,-0.0400799,0.129715,0.102062,0.0340712,0.0605473,0.109141,-0.142589,-0.0073328,0.471804
3,-17197.7,2.78718,21.371,1.73645,0.0531596,-0.0956128,-0.0677163,-0.147488,-0.357017,-0.0443868,0.164242,-0.0135022,-0.310333,-0.235343,0.206188,0.00986649,0.0484252,-0.013333,-0.138656,-0.0446523,0.0248009,0.0166139,0.14442,-0.0775505,0.0230189,0.725677,0.0338423,0.0293465,0.0536096,1.0591,0.08823,-0.543944,-0.378226,0.276415,0.191526,-0.14586,0.138975,0.0351934,-0.00551762,0.0227243,0.248163,-0.147999,0.0777389,0.539733
