agemonths,haz,waz,hcaz
10.9,-2.176713181,-2.099693562,-3.321988109
11.9,-1.316301379,-1.829109599,-3.142657536
13,-1.66107205,-1.701807814,-3.127395661
14,-1.619458744,-2.156853507,-3.058471019
14.9,-1.605314652,-1.860187987,-2.899817135
16,-1.950991969,-1.478069135,-2.294542067
16.9,-2.150156362,-1.085123713,-2.032095625
18,-2.422556651,-1.529652762,-2.161125142
19,-2.251983028,-1.707071543,-2.273477442
20,-2.373938893,-1.720784955,-2.756163658
21,-2.298213547,-1.316931162,-2.853143968
22,-2.396806726,-1.719725582,-2.949124596
23.1,-2.17491907,-1.503699018,-3.047063364
24,-2.013700775,-1.696881735,-2.906292951
0.2628121,-1.695909629,-1.404105165,-1.848334719
1,-1.614320684,-1.383313198,-2.371891347
2,-1.411591877,-1.146554351,-2.22978885
3,-1.737010891,-1.021654572,-2.381931526
4,-0.942139155,-1.090230892,-2.811809889
5.1,-1.013815792,-1.002555373,-2.762209227
6,-1.720685375,-0.905111062,-3.212971355
7.1,-2.19214509,-0.710988521,-2.40252922
8,-0.768773274,-0.649678346,-2.17556236
9,-2.006052911,-0.598249628,-3.236465362
11,-2.078570201,-0.723522831,-2.716891843
12,-2.124282383,-0.628946235,-2.122988501
12.9,-2.329251518,-0.79273343,-2.311408148
14.1,-2.227169379,-1.332273102,-2.519497286
14.9,-2.236810195,-1.43649313,-2.505109582
16.4,-2.48563644,-1.610234978,-2.569127675
17,-2.522482163,-1.604353452,-2.947250998
18.1,-2.513628204,-1.765388017,-2.649145376
19.1,-2.634541284,-1.741209644,-2.767250777
20.1,-2.586662392,-1.801966517,-2.882524875
21.5,-2.618349016,-1.963666925,-2.740365949
22.1,-2.776811,-1.828240939,-3.165023339
23.1,-2.928169962,-1.845545101,-2.908196956
23.9,-2.752287165,-1.697966427,-2.992026007
0.2299606,0.727536817,0.67518292,-0.903145129
1,0.751448089,0.987118012,0.497808859
2.2,0.01886873,1.529273602,-0.110174648
3.2,-0.726594611,2.312630624,-0.785977639
4.4,0.621544143,1.150233468,-0.411369222
4.9,0.271064416,1.065421718,-0.934792646
6,-0.17560897,0.677695162,-0.37269086
7,0.52512703,0.695356605,-0.400773041
8,0.202753391,0.485549738,0.608314774
9,0.086415819,0.45814577,-1.52772939
10,-0.877829985,0.682650763,-2.397199965
10.9,-0.752728531,0.665185543,-1.748271899
12.1,-0.537281369,0.178624244,-1.628532366
13,-0.961852032,-0.154615644,-1.816747716
14.5,-1.267782046,-0.435349833,-2.000112861
15,-1.274177781,-0.864719955,-1.130244822
16,-1.469174957,-0.483273102,-0.992372653
17,-1.65683667,-0.776087409,-1.138188977
18.1,-1.894914337,-1.911848781,-1.274131385
19,-1.601679422,-1.649573709,-1.38634575
20.1,-1.582776174,-1.267311543,-2.590550411
21,-1.626641333,-0.955501601,-2.694994577
22.1,-1.528633447,-0.873776412,-2.446189967
23.1,-1.724396317,-0.959091434,-2.402743551
24,-1.736498094,-1.065763079,-2.206893777
0.2956636,0.227251345,-0.896201266,-0.633197234
1,0.666860184,-0.32933064,-0.614222424
2,0.085094008,-0.631419904,-0.924006953
3,-0.838031473,-0.672991689,-1.574441358
4,-0.626562522,-1.001559966,-2.37816904
5,-0.516873698,-1.085559572,-1.285938617
5.9,-0.110851374,-1.330360153,-1.223536338
7.1,0.341227738,-1.364229084,-1.148940544
8,-0.760338751,-1.405664955,-2.828056958
8.9,-1.133512495,-1.438928929,-1.161157139
10.1,-0.240353961,-1.803142473,-3.491588016
11,-0.749664638,-1.471833177,-3.023992105
12.1,-1.394283141,-1.570397846,-2.476334301
13,-1.605068395,-1.574618022,-2.115462622
14,-1.552226434,-1.538504765,-2.294671203
16,-1.501184091,-1.306647015,-2.285423586
17,-1.767264712,-1.892293108,-2.272055846
18,-1.109735277,-1.796571288,-2.998264996
19.1,-1.458831849,-1.631224196,-2.963488956
20.1,-1.737371341,-1.459684657,-3.0676547
21.1,-1.812761969,-1.916949543,-3.089306663
22,-1.392313846,-1.593081566,-2.510020265
23.1,-1.617034227,-1.801243889,-2.607717571
24,-1.359763816,-1.758390052,-2.686002422
0.3942181,-0.776900891,-1.180959152,-1.680371284
1,0.355318063,-1.014192794,-1.833249003
2,-0.284591949,-0.738102007,-1.94552298
3,1.016456864,-0.647380903,-2.059907458
3.9,0.477313255,-0.51182425,-2.314414105
5,0.1901835,-0.690015504,-2.938008347
5.9,-0.152159015,-0.703691996,-2.429351718
6.9,0.35244612,-0.700069266,-2.499973305
8,0.49640719,-0.652448229,-2.529133894
8.9,-0.603709634,-1.096980899,-2.767751764
10.9,1.193127339,-0.440865533,-3.374846449
12,-0.351467914,-0.390231408,-3.233399221
12.9,-0.424089144,-0.5761459,-2.898097189
14,-0.414970635,-0.506499815,-2.289737164
15,-0.872493902,-0.282865989,-2.441940941
16.2,-0.125820491,-0.313036159,-2.332877447
17,-0.289259999,-0.55196591,-2.226046417
18,-0.406098452,-0.534327936,-2.343202858
19,-0.40840757,-0.609276404,-2.394059922
20.1,-0.654753289,-0.34534125,-2.302070409
21.1,-0.44042108,-0.522268299,-2.341785345
22,-0.517513891,-0.633097065,-2.366891929
23,-0.644960061,-0.781544602,-2.327778695
23.9,-0.642708085,-0.704771042,-2.418731122
0.1642576,-0.243872225,-0.931242137,-0.212833262
1.1,-0.480482444,-0.433359316,-0.2481837
2,-0.365138836,0.157728164,-0.071129943
3,-1.413280561,0.568877084,-0.542470405
3.9,-0.075992652,0.542822373,-0.647724122
5,0.164833384,0.339181534,-1.142872157
6,-0.207154246,-0.033276533,-1.342733114
6.9,-0.213939647,0.247608688,-1.411511466
