"pandemicday","estimate","sevalue","class","severity","ymin","ymax"
164,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
173,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
178,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
182.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
186.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
187.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
191,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
199.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
210,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
217.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
223.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
227.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
232,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
239,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
245.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
252.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
259.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
266,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
273.5,0,5,"azithromycin","all",5.54515994321769e-05,18033.7449278285
280.5,-1.13465228965031,1.64399343617623,"azithromycin","all",0.012818325854934,8.06533174993551
286.5,-1.13465228965031,1.64399343617623,"azithromycin","all",0.012818325854934,8.06533174993551
293.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
300.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
307.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
314.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
321.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
328.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
335.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
342.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
349.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
356.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
363.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
370.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
377.5,0.0877631017940236,0.193360789447249,"azithromycin","all",0.747348219237265,1.59480305019438
384.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
394.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
404.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
415,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
423.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
427,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
433,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
440.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
447,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
453.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
464,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
474.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
485,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
495.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
506,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
516.5,0.010969209283991,0.0587165392125329,"azithromycin","all",0.901121475423002,1.134342997089
523.5,0.0109740359260488,0.0586663425526214,"azithromycin","all",0.901214486858636,1.13423687427095
531.5,0.0109740359260488,0.0586663425526214,"azithromycin","all",0.901214486858636,1.13423687427095
549,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
562.5,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
566,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
573,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
580,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
590.5,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
601,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
607.5,0.0117105039932833,0.0586528263196079,"azithromycin","all",0.901902339727642,1.1350424414471
